# Photon Map Export
VERSION 1
GLOBAL_COUNT 37267
CAUSTIC_COUNT 9342

GLOBAL_PHOTONS
# pos_x,pos_y,pos_z,power_r,power_g,power_b,dir_x,dir_y,dir_z
288.552582,22.123753,559.200012,0.000800,0.000800,0.000800,0.241015,0.777129,0.581362
483.483948,-0.000006,217.160553,0.000000,0.000000,0.000900,-0.789444,-0.571007,-0.225233
148.785034,27.372860,559.200012,0.000800,0.000800,0.000800,-0.926527,0.151266,0.344481
326.749664,548.799988,169.678406,0.000800,0.000800,0.000800,0.143935,0.848180,-0.509777
306.791840,141.174576,559.200012,0.000800,0.000800,0.000800,0.347403,0.831077,0.434306
112.899689,391.451050,559.200012,0.000900,0.000000,0.000000,0.445269,-0.014672,0.895277
142.240265,548.799988,224.671097,0.000800,0.000800,0.000800,-0.342150,0.915721,0.210686
18.905403,548.799988,464.498199,0.000000,0.000000,0.000900,-0.796665,0.582091,0.162771
263.259064,548.800049,478.424072,0.000800,0.000800,0.000800,0.112835,0.987211,0.112619
86.444328,0.000003,233.497314,0.000900,0.000000,0.000000,0.283467,-0.906650,-0.312461
108.541878,0.000008,7.364581,0.000900,0.000000,0.000000,0.311441,-0.675713,-0.668144
147.690323,548.799988,149.592789,0.000900,0.000000,0.000000,0.545449,0.693866,0.470144
556.000000,7.806931,336.219635,0.000800,0.000800,0.000800,0.675141,0.737435,-0.019374
556.000000,302.760834,394.918549,0.000800,0.000800,0.000800,0.283143,0.640003,-0.714301
106.443680,254.614639,559.200012,0.000900,0.000000,0.000000,0.434123,-0.707270,0.557949
0.000023,141.142761,412.840546,0.000800,0.000800,0.000800,-0.492907,-0.493723,-0.716436
297.269440,290.367889,559.200012,0.000000,0.000000,0.000900,-0.675974,-0.307779,0.669576
263.460175,0.000009,378.522278,0.000900,0.000000,0.000000,0.658247,-0.706049,-0.261164
0.000008,438.179871,332.793457,0.000000,0.000000,0.000900,-0.939951,-0.127762,-0.316495
298.952362,548.799988,425.197876,0.000000,0.000000,0.000900,-0.722874,0.308417,0.618330
0.000031,335.171722,411.947937,0.000000,0.000000,0.000900,-0.895385,-0.088475,0.436415
235.289490,548.799927,549.291687,0.000800,0.000800,0.000800,-0.189862,0.979580,0.066154
238.409912,548.800049,527.228271,0.000000,0.000000,0.000900,-0.581099,0.544241,0.605083
362.090271,483.762512,559.200012,0.000900,0.000000,0.000000,0.652352,0.701257,0.287533
-0.000003,412.444885,88.948036,0.000800,0.000800,0.000800,-0.543155,0.832528,0.108993
80.526169,548.799988,557.772339,0.000800,0.000800,0.000800,-0.246142,0.922564,0.297137
556.000000,523.077698,493.332733,0.000900,0.000000,0.000000,0.756716,0.449402,0.474782
230.480682,334.567322,559.200012,0.000000,0.000000,0.000900,-0.935008,0.184390,0.302920
487.657898,548.799988,188.792175,0.000800,0.000800,0.000800,-0.051234,0.998468,-0.020881
7.360552,338.088501,559.200073,0.000900,0.000000,0.000000,0.023129,-0.041518,0.998870
517.481750,190.602997,559.200012,0.000000,0.000000,0.000900,-0.898383,0.323129,0.297484
556.000000,409.877319,546.544067,0.000900,0.000000,0.000000,0.990385,0.137447,0.015694
467.285919,548.799988,272.153900,0.000900,0.000000,0.000000,0.865773,0.450756,0.217385
-0.000005,129.567123,260.375854,0.000000,0.000000,0.000900,-0.858360,-0.376647,-0.348361
0.000002,249.874939,233.209702,0.000000,0.000000,0.000900,-0.991074,-0.048268,-0.124270
-0.000008,468.184296,38.568737,0.000000,0.000000,0.000900,-0.766627,0.506515,-0.394621
-0.000003,399.168243,188.965637,0.000800,0.000800,0.000800,-0.090183,0.995184,-0.038427
556.000000,120.799728,161.929138,0.000800,0.000800,0.000800,0.798517,0.452638,0.396851
493.952759,548.799927,228.025589,0.000800,0.000800,0.000800,-0.057035,0.977239,0.204329
36.123077,548.799988,199.914642,0.000000,0.000000,0.000900,-0.933094,0.357549,-0.038645
0.000023,475.101532,509.036987,0.000000,0.000000,0.000900,-0.806419,0.361493,0.467987
140.711075,548.799988,55.799171,0.000900,0.000000,0.000000,0.587207,0.699550,-0.407207
75.157768,514.586121,559.200012,0.000900,0.000000,0.000000,0.424611,0.847548,0.318383
359.906860,477.733521,559.200012,0.000900,0.000000,0.000000,0.860004,0.463851,0.212686
132.269028,548.799988,0.813748,0.000000,0.000000,0.000900,-0.902208,0.280555,-0.327582
527.689026,90.648026,559.200012,0.000000,0.000000,0.000900,-0.485334,0.798259,0.356698
-0.000021,219.717087,259.750061,0.000800,0.000800,0.000800,-0.668734,0.710499,-0.219056
185.826050,124.130615,559.200012,0.000900,0.000000,0.000000,0.455665,-0.665494,0.591175
441.626190,61.642151,559.200012,0.000800,0.000800,0.000800,0.932289,0.325803,0.157129
556.000000,21.819519,50.135582,0.000800,0.000800,0.000800,0.663315,0.334947,0.669197
532.908936,548.799988,212.250092,0.000000,0.000000,0.000900,-0.327433,0.447360,-0.832260
556.000000,48.138618,69.301163,0.000900,0.000000,0.000000,0.740508,-0.488346,-0.461699
101.384048,414.060913,559.200012,0.000900,0.000000,0.000000,0.638161,-0.381430,0.668776
84.764015,-0.000028,459.730591,0.000000,0.000000,0.000900,-0.662228,-0.624492,0.414083
556.000000,321.199921,355.900970,0.000800,0.000800,0.000800,0.738977,-0.270850,-0.616890
183.065964,236.742752,559.200012,0.000000,0.000000,0.000900,-0.873780,-0.221482,0.432959
7.357344,250.620819,559.200012,0.000900,0.000000,0.000000,0.136671,-0.313217,0.939796
-0.000017,205.172028,272.626251,0.000000,0.000000,0.000900,-0.977567,0.064673,-0.200451
